🌸西八台灣啟示錄頻道,#genre#
"【全集】美女家教人間蒸發「浴室驚見107處血點」死未見屍！？「女哭詭來電」半夜找上檢警家裡求救？！｜徐俊相 【台灣啟示錄】20250831 @ebcapocalypse",https://www.youtube.com/watch?v=_bbtQYBzjxw
"【全集】內湖遊民「虐殺8歲女童」棄屍公墓...小女孩頭七當天找到兇手！冷血手法遭判死刑「為了延遲槍決」胡扯女星湛蓉是他殺的？！｜徐俊相 【台灣啟示錄】20250824@ebcapocalypse",https://www.youtube.com/watch?v=hYvLgNXp2zM
"【全集】第一女中醫莊淑旂！命定指南宮睡仙夢！台北東京梵諦岡！命運金三角百年傳奇！｜徐俊相 【台灣啟示錄】20250817 @ebcapocalypse",https://www.youtube.com/watch?v=HxiINdgs7-Q
"【全集】台東3青年北漂失蹤「年邁父拜託黑白道」奔走10個月尋人！見到兒子變白骨崩潰「兇手竟是孩子好友」？！｜徐俊相 【台灣啟示錄】20250810 @ebcapocalypse",https://www.youtube.com/watch?v=Ur73r7qmzMs
"【全集】瘦弱男遭活活打死「對折塞桶」浸泡54罐強酸！恐怖死狀讓員警發毛「屍體像醃鹹菜」兇手判14年｜徐俊相 【台灣啟示錄】20250803 @ebcapocalypse",https://www.youtube.com/watch?v=TnlM0xEne-g
"【全集】逆子弒父肢解成「人彘」怨他家暴母親！警探眼尖一瞥破案「關鍵證據竟是鞋子」？！｜徐俊相 【台灣啟示錄】20250727 @ebcapocalypse",https://www.youtube.com/watch?v=HMGlGkHQfis
"【全集】女高職生家中遭姦殺「身中22刀」兇手只關11年？！惡男當時僅14歲「竟吞毛髮滅證」手段狡猾？！｜徐俊相 【台灣啟示錄】20250720 @ebcapocalypse",https://www.youtube.com/watch?v=ePUQbW-Ip6M
"【全集】單純女會計變焦屍「化為冤死厲鬼」連法官都看見？！兇手出庭「飄出火燒味」...求饒死者：不要再來找我！｜徐俊相 【台灣啟示錄】20250713 @ebcapocalypse",https://www.youtube.com/watch?v=ZDMDoCsB5Nk
"【全集】退伍憲兵專挑有錢美女「性侵劫殺」！連孕婦都下手「原本想殺了她」怕嬰靈纏身留活口？！｜徐俊相 【台灣啟示錄】20250629 @ebcapocalypse",https://www.youtube.com/watch?v=4qFssU4T9fk
"【全集】無名男屍蜷曲木箱「懸案28年破了」目擊者良心不安全說了！逃過追訴期「卻已遭受現世報」？4名凶手有3人已死亡！【龜山箱屍案】｜徐俊相【台灣啟示錄】20250622@ebcapocalypse",https://www.youtube.com/watch?v=TnEKOAMnO3M
"【全集】死囚拖延槍決時間「問死後變什麼」高大成嗆：壞人轉世當畜生！北所鋼鐵禁忌「死囚舍房清空等7天」...他誤睡「鬼位」疑中邪？｜徐俊相【台灣啟示錄】20250615@ebcapocalypse​",https://www.youtube.com/watch?v=dEse_msUU5k
"【全集】狠心女兒要不到錢「就殺死老父親」拖行屍體全被拍下？！母親心碎痛哭「拜託法官判她死刑」！【留美女碩士弒父案】｜徐俊相 【台灣啟示錄】20250608 @ebcapocalypse",https://www.youtube.com/watch?v=shPHABrM4uY
"【全集】萬華角頭加蚋慶「數十億身價」慘死小三家門？！大小老婆宮鬥「扯出殺機」警逮兇嫌竟是外甥？！｜徐俊相 【台灣啟示錄】20250601 @ebcapocalypse",https://www.youtube.com/watch?v=U-7Dxv1KP7w
"【全集】建商富二代追求失敗「176刀砍到女大生毀容」頸椎幾乎斷掉？！母親過度溺愛「砸錢替兒逃死刑」凶嫌演懺悔被法官戳破？！｜徐俊相 【台灣啟示錄】20250525 @ebcapocalypse",https://www.youtube.com/watch?v=evku3gb7Hdg
"【全集】彰化蠟化女屍「躺冰櫃7年」生前是遭潑酸＋活活燒死？！女兒崩潰指認「那是我媽媽」揭狠心父親勾結小三殺妻案？！｜徐俊相 【台灣啟示錄】20250518 @ebcapocalypse",https://www.youtube.com/watch?v=T9e6DQJPPOc
"【全集】法醫高大成得罪軍方「收死亡威脅」座車上被裝GPS！？ 大砲性格「堅持反廢死」：壞人不可同情！？｜洪培翔 【台灣啟示錄】20250511 @ebcapocalypse",https://www.youtube.com/watch?v=xIn4LAf4ccI
"【全集】天下第一土地公廟「連總統府都是祂在管」？！做生意必拜「主委曝信眾擲筊問事」30年賺數千萬？！｜洪培翔 【台灣啟示錄】20250503 @ebcapocalypse",https://www.youtube.com/watch?v=STReOVSdWhI
"【全集】狠男替母「討90萬債務」竟擄人棄屍？！被盤查心虛「對警開槍」引爆高雄封城大圍捕...85大樓警匪駁火對轟10多槍！｜洪培翔 【台灣啟示錄】20250420 @台灣啟示錄",https://www.youtube.com/watch?v=QfSQTKJCF9M
"【全集】酒店紅牌狠殺男友「屍封六層再灌水泥」桶子掉出手→案件才見光？！90項間接證據「買電鑽＋攪拌機」仍不認罪嗆：我才是被害人！｜洪培翔 【台灣啟示錄】20250413@ebcapocalypse",https://www.youtube.com/watch?v=NZg-M020JpY
"【全集】19歲高職生求歡失敗「11刀捅死女同學」校服染血仍繼續上課！裝傻拒認罪→法庭上冷笑「檢察官怒斥：還笑得出來」？！｜洪培翔 【台灣啟示錄】 20250406 @ebcapocalypse",https://www.youtube.com/watch?v=NUUjcHSzV1g
"Jiang Renxi was imprisoned in China for 8 years and died tragically after returning to Taiwan",https://www.youtube.com/watch?v=33AOCPh0gS0
"The gang leader who shot in the street and ""ran away for 8 years"" was defeated by a manuscript? !",https://www.youtube.com/watch?v=Xm35CLUzU0o
"Female graduate student brutally kills her best friend and dissolves her body in aqua regia",https://www.youtube.com/watch?v=3QLpceBy4Ag
"The cannibal dismemberedthe female insurance agent and dumped her bones and flesh into a septic tank",https://www.youtube.com/watch?v=HCvqQynfiWU
"After being released from prison, Zhang Jiezong dismembered three women",https://www.youtube.com/watch?v=ZWEhviu8sqo
"Xiao S always looks for her sister when filming crying scenes: the person I love most in the world!",https://www.youtube.com/watch?v=9JJ8hfUeV_s
"【@ebcapocalypse 全集】20250202 走私20億海洛因「遭行刑式槍擊」丟海！抓藏鏡人是「線民毒梟聯手黑吃黑」屍體懸疑巧合成破案關鍵？！｜洪培翔",https://www.youtube.com/watch?v=P2rPxQJofLg
"【@ebcapocalypse 全集】20250126 台灣輪機長捕魚「遭海盜囚禁5年」靠吃老鼠活命！兩岸籌200萬美金贖回「痛哭感謝」：以為會死在異鄉！｜洪培翔",https://www.youtube.com/watch?v=bCp_jjxultY
"【@ebcapocalypse 全集】20250119 天道盟角頭為了350萬溺殺母子！？ 警急追關鍵「0917」通聯...一句話讓共犯失禁秒下跪認罪！｜洪培翔",https://www.youtube.com/watch?v=X7hFmDu6Gv4
"【@ebcapocalypse 全集】20250112 包小柏走不出喪女痛「閉門鑽研AI復活她」！ AI女兒透過螢幕暖喊想念爸媽「一句話」讓他當場感動泛淚｜洪培翔",https://www.youtube.com/watch?v=hlEHQYEGUzA
"【@ebcapocalypse 全集】20250105 為了一萬塊「殺人棄屍公墓」判無期徒刑！？ 派報生離奇失蹤「手機訊號」成破案關鍵！？｜洪培翔",https://www.youtube.com/watch?v=s2KPNqalmAg
"【@ebcapocalypse 全集】20241229 柯文哲10年政治路「戴電子腳鐐7千萬交保」反商人設破滅？！「四大罪遭求刑28.5年」哽咽：相信自己不是貪汙的人！｜洪培翔",https://www.youtube.com/watch?v=ur6i4jSwz4s
"【@ebcapocalypse 全集】20241222 把熱氣球搬到大巨蛋的辣個女人！天后張惠妹「接棒周杰倫」嗨跳三天三夜超寵粉｜洪培翔",https://www.youtube.com/watch?v=2pyK7MJvA7o
"【@ebcapocalypse 全集】20241215 新婚街友淪「人頭老公」被撞成重傷...出院三天就噎死？！ 蛇蠍情侶殺人詐保「密謀一年」主謀遭判無期徒刑｜洪培翔",https://www.youtube.com/watch?v=-onxmwouwrw
"Lin Jiazheng admires Wang Jianmin and his ""MLB Dream Chaser"" gold medal match begins!",https://www.youtube.com/watch?v=XtjpjorZM9E
"[eng sub]Taiwan wins world baseball championship",https://www.youtube.com/watch?v=toqpmvM9g-I
"【@ebcapocalypse 全集】20241110 退役軍官恐嚇「報警就撕票」人質被綁還有麥當勞吃！？ 完美綁架計畫「栽在機智小五男童身上」記憶拼圖成警方破案關鍵！｜洪培翔",https://www.youtube.com/watch?v=eLsF2Qiyjc8
"【@ebcapocalypse 全集】20241103 服刑最久的無期徒刑受刑人！ 惡嫌求愛日本女大生「井口真理子」遭拒...竟用十字弓殺人分屍？！ 家人反對假釋「要求關到底」誰放出來誰負責！｜洪培翔",https://www.youtube.com/watch?v=kswtZUHyqSM
"【@ebcapocalypse 全集】20241027 一度以電線走火結案！化工男狠心殺害孕妻「延遲點火裝置」製造不在場證明？！ 堅持不認罪「用保險金利誘岳母助脫罪」更二審改判無期徒刑！｜洪培翔",https://www.youtube.com/watch?v=bc4KclEL-RM
"【@ebcapocalypse 全集】20241020 曾誓言掃光毒蟲「警察殺人遭判死」一度說謊想逃刑責？！ 已婚績優緝毒警官「愛上女線民」畸戀埋殺機！｜洪培翔",https://www.youtube.com/watch?v=2MSIl4YgBuE
"【@ebcapocalypse 全集】20241013 留美女碩士啃老「要不到錢就殺父」辯是憂鬱症導致！釋憲後「確定逃死」被害家屬嘆：喪盡天良竟只判無期！｜洪培翔",https://www.youtube.com/watch?v=tyL7nq-cDxQ
"【@ebcapocalypse 全集】20241006 歌友社老闆娘「失蹤六年成桶屍」兩根手指成破案關鍵？！ 凶嫌詭辯「幫死者做CPR想減刑」終逃死？！｜洪培翔",https://www.youtube.com/watch?v=H1WUj8QksFU
"【@ebcapocalypse 全集】20240929 劈腿男「分屍三母女」將內臟切碎沖馬桶？！手法凶殘「肢解21塊放水流」兇手遭逮竟喊：沒想到頭顱會漂起？！ ｜洪培翔",https://www.youtube.com/watch?v=RNoCeJDkQHA
"【@ebcapocalypse 全集】20240922 驚世媳婦暫緩槍決「智商57」成逃死關鍵？ 最年輕待決死囚「由愛生恨絞殺母女」聲請大法官釋憲！ 被害家屬崩潰：不判他死刑就是判我全家死刑｜洪培翔",https://www.youtube.com/watch?v=jCyRMhsRu6Q
"【@ebcapocalypse 全集】20240908柯文哲從政十年路！金權魔戒啟示錄｜洪培翔",https://www.youtube.com/watch?v=Oo3wLlSIa4o
"【@ebcapocalypse 全集】20240825 百億鐵砂大亨離奇遭「水泥桶封屍沉大排」！？狡詐主謀受訪「我發誓沒殺他」冤魂頭七促家人追兇...颱風天讓真相浮出水面！？｜洪培翔",https://www.youtube.com/watch?v=0HuhRqN8YF4
"【@ebcapocalypse 全集】20240818 三兄弟一起搶運鈔車「朝保全狂轟四槍」刑期加起來超過30年！母親痛心哭「想不到兒子會這樣」：曾想過放棄生命｜洪培翔",https://www.youtube.com/watch?v=j3S9-nzzBPk
"【@ebcapocalypse 全集】20240811 蛇蠍人妻色誘乾弟「上床三回合」愛我就殺了我老公！出殯一滴淚都沒流「公婆怒斥潘金蓮再世」靈堂還飲酒作樂？！｜洪培翔",https://www.youtube.com/watch?v=dFkwoEXaORM
"【@ebcapocalypse 全集】20240804 殺手槍殺林士傑「狂設斷點」背後恐有高人指點！？「南北槍擊案挑戰公權力」全台警察向黑道宣戰？！｜洪培翔",https://www.youtube.com/watch?v=6gM3aCI9JJE
"【@ebcapocalypse 全集】20240728 三毛渴望再見亡夫一面「意外看見生死簿」！？呂金虎大師「左眼皮貼白布天眼通」成台灣觀落陰傳奇？｜洪培翔",https://www.youtube.com/watch?v=6U1z7C_MsRk
"【@ebcapocalypse 全集】20240721 史上最慘烈警匪槍戰！惡龍陳新發「冷血連殺兩警」黑白兩道都追殺！特勤隊攻堅「用光2千發子彈 引爆瓦斯」陳新發同夥葬身火窟？！｜洪培翔",https://www.youtube.com/watch?v=kAsYK8yTeDY
"【@ebcapocalypse 全集】20240714 多金已婚男戀上「小23歲檳榔西施」砸千萬養她全家！前女友花光錢就變心「嫁給別人」他卻遇害「遭棄屍山林」？！｜洪培翔",https://www.youtube.com/watch?v=O4t0ydQZKmg
"【@ebcapocalypse 全集】20240707 亡命綁匪貼身藏「劇毒檳榔」被逮就自我了斷！勇警搶救人質緊急100分鐘...破2兇徒心防：你們的命我也要救｜洪培翔",https://www.youtube.com/watch?v=mTDp6IIRQyQ
"20240630 Executed at the Third Shot Still Yelling ""I Didn't Kill Anyone""!",https://www.youtube.com/watch?v=PfI8XDCSfW0
"【@ebcapocalypse 全集】20240623 最狂怪醫喊「AI是我最佳助手」！ 行醫30年「一年開千台刀」破世界紀錄！？ 攜杜式刀法「飛全球」各國名醫全聽他的？！｜洪培翔",https://www.youtube.com/watch?v=wHMURz1JacY
"【@ebcapocalypse 全集】20240616 前解放軍艇長駕快艇「闖淡水河」投奔自由？ 小船直闖「天下第一關」51分海巡誤判沒人理？｜洪培翔",https://www.youtube.com/watch?v=oYfgimdbHXw
"【@ebcapocalypse 全集】20240609 霹靂小組驚呼「10年來第一次感到害怕」！？ 退役士官長「反社會人格」四小時連殺兩仇人！？ 海軍陸戰隊背景「特殊殺人手法」刀刀致命！｜洪培翔",https://www.youtube.com/watch?v=38Xcv-Yr6Q4
"【@ebcapocalypse 全集】20240602 台南囝仔黃仁勳「從洗碗工到AI教父」締造傳奇！ 忘年之交張忠謀出手相助 黃仁勳：沒有台積電就沒有輝達！｜洪培翔",https://www.youtube.com/watch?v=Hn2_x-huQ9g
"【@ebcapocalypse 全集】20240526 舞廳惡狼勒斃2熟女埋屍「女友驚接死者來電」！？ 失蹤女「入夢申冤」泣訴：被壓得辛苦！｜洪培翔",https://www.youtube.com/watch?v=n_fAakzddzs
"【@ebcapocalypse 全集/三重滅門案】20240519 軟爛女婿「狠奪祖孫三命」冷血伴屍五天？！「逃亡不忘帶狗美容」被逮無悔意：重來再殺一次！｜洪培翔",https://www.youtube.com/watch?v=6EjIUgyfq3o
"【@ebcapocalypse 全集】20240512 十大槍擊要犯之首「攜20槍千發子彈」橫行江湖！？ 鬼見愁兩年奪25命落網遭判死「獄中結婚」四槍伏法！｜洪培翔",https://www.youtube.com/watch?v=zL5LDPkeH3Y
"【@ebcapocalypse 全集】20240511 台灣首位女中醫師！莊淑旂的傳奇人生！三救日本皇后美智子！七顆紅棗救醒教宗｜洪培翔",https://www.youtube.com/watch?v=oAlyDy4QZFM
"【@ebcapocalypse 全集】20240505 高雄監獄最長的一夜！六囚奪長槍開火怒喊「典獄長在我手上」與警僵持14小時... 舉槍自戕「梅花陣」驚傳陰謀論！？｜洪培翔",https://www.youtube.com/watch?v=7_CdnomIccw
"【@ebcapocalypse 全集】20240428 國中生遭綁157天「囚禁三坪黑密室五個多月」！惡徒勒贖2500萬「寄狗頭+斷指」家屬嚇到癱軟椅子...警察竟是幕後藏鏡人？｜洪培翔",https://www.youtube.com/watch?v=GhAosIJXXy4
"【@ebcapocalypse 全集】20240421 準新郎缺錢結婚「在4地放炸彈勒索600萬」驚炸死防暴警察！現場留紙條「炸彈勿動」法官判免死：歹徒無殺人意圖｜洪培翔",https://www.youtube.com/watch?v=QaAewhvu0JE
"【台灣啟示錄 全集】20240414 惡徒陳進興心臟還在跳「器捐換三個新生命」！殺死白曉燕逃亡「超過50人受害」近千警力圍捕...主播連線160分「聽見人質哭聲」機智問話破他心防？｜洪培翔",https://www.youtube.com/watch?v=4qflUfBJDxc
"【@ebcapocalypse 全集】20240407 大甲媽鑾轎曾遭綁去「八卦山藏一天一夜」引爆彰化搶轎名聲？！今年三千警力嚴陣以待「顏清標親扛轎下民生地下道」5分鐘快速通過！｜洪培翔",https://www.youtube.com/watch?v=e1QvPxyM5Kg
"【@ebcapocalypse 全集】20240331 白沙屯媽祖吸50萬香燈腳齊喊「進喔」！遇信眾擋轎「360度連三次大迴轉」超有個性不讓鑽轎底？！轎班大哥揭媽祖親指路線來自轎桿神秘力量？｜洪培翔",https://www.youtube.com/watch?v=jyVrdmu5DZo
"【@ebcapocalypse 全集】20240324 逆子為10萬「喊殺父母」卻淪白骨險成懸案？！邢府千歲顯靈「連給九聖筊」指示兇手揭人倫悲劇！｜洪培翔",https://www.youtube.com/watch?v=2v5Wycg8keY
"【@ebcapocalypse 全集】20240317 萬國幫頭號戰將「被人吃人」連開槍3道上兄弟洩恨！？獨家曝秘錄器「駁火第一視角」勇警當人肉盾牌飛撲護人質！｜洪培翔",https://www.youtube.com/watch?v=97MQd8lLJUo
"【@ebcapocalypse 全集】20240310《周處除三害》中國爆紅「三天創6億票房」原型是他！竹聯殺手劉煥榮「專殺大哥」遭黑白兩道通緝...「淡定走進刑場」伏法前高喊：對不起國家社會｜洪培翔",https://www.youtube.com/watch?v=F6f3OE3kqu0
"【@ebcapocalypse 全集】20240303 軟飯男不爽「被譏是小狼狗」殺女友灌水泥棄屍！白骨尋獲瞬間顯靈颳風雨「嫌下跪磕頭」？！目擊警發麻：跟通靈老師畫的一樣｜洪培翔",https://www.youtube.com/watch?v=89fvMFV67h8
"【@ebcapocalypse 全集】20240225 狠嫌開槍五人頭部嗆「我是報仇殺人的啦」！大屠殺計畫八年「二審再判死刑」事後痛哭喊很後悔？！｜洪培翔",https://www.youtube.com/watch?v=cHx5Oq9TM8o
"【@ebcapocalypse 全集】20240218 討債男過年失蹤...託夢姑姑喊「我在水裡好冷」尋獲遺體 ！欠債兄弟上吊前喊「不是我殺的」揭麻將詐賭駭人真相...｜洪培翔",https://www.youtube.com/watch?v=qZZYkeVCPw0
"【@ebcapocalypse 全集】20240211 前幫主「為愛金盆洗手」卻遭當街狙殺！外甥財路遭擋「竟買兇殺親舅」！？｜洪培翔",https://www.youtube.com/watch?v=o3QiYYh-jls
"【@ebcapocalypse 全集】20240204 酒店妹全家分工「殺害51歲富男友」笑著下藥棄屍！法官判「高度復歸社會可能」再逃死刑｜洪培翔",https://www.youtube.com/watch?v=6rjr70_S31U
"【@ebcapocalypse 全集】20240128 富二代騙酒店女多人運動「監禁30天餵毒控制」？！自製電擊椅把「浴室變刑房」還錄影成破案鐵證？！｜洪培翔",https://www.youtube.com/watch?v=FUbf7eRMVvY
"【@ebcapocalypse 全集】20240121 鄉長不爽「美魔女前妻」與警察兄弟互傳私密照！砸200萬「買兇殺警」霰彈槍10秒轟3槍斃命｜洪培翔",https://www.youtube.com/watch?v=D_dHutADkZk
"【@ebcapocalypse 全集】20240114 賴清德勝選揭「台海危機怎處理」引全球關注？！彭博社：仍有836萬選民未投給你 #2024總統大選特別報導｜洪培翔",https://www.youtube.com/watch?v=R7mR5_B5coI
"【@ebcapocalypse 全集】20231224 憨厚公務員18年殺6人「2妻3兒全亡」詐保！遭判5死刑「要求籌400萬」企圖買通警逃跑？/酒店女「媽媽、婆婆、老公」離奇猝逝案恐怖反轉！｜洪培翔",https://www.youtube.com/watch?v=3_oCvS-B0Ww
"【@ebcapocalypse 全集】20231217 雜貨店老闆擁上億遭綁走「監視器線路全被剪」！家屬「開天眼」見擄人三歹徒「主謀竟是警察好友」？！｜洪培翔",https://www.youtube.com/watch?v=32DYN6PANO8
"【@ebcapocalypse 全集】20231210 蛇蠍女「不爽老公外遇」教唆小王聯手殺夫！？警方前演戲「哭喊嫌犯下手狠」不認罪遭法官證據打臉！她案發前上網「搜溺水死亡証明」早有預謀？！｜洪培翔",https://www.youtube.com/watch?v=FxgYKyasSDc
"【@ebcapocalypse 全集】20231203 清秀女「榨光乾爹積蓄」狠斷掌棄屍！落網「辯稱男友殺人」檢察官嘆她不知悔改...法官：手段凶殘無期定讞！｜洪培翔",https://www.youtube.com/watch?v=mVzsZm237rk
"【@ebcapocalypse 全集】20231126 夜市爆槍戰「通緝犯持半拉手榴彈」揚言同歸於盡！霹靂小組封鎖現場「警匪互轟五十槍」驚險對峙3小時！｜洪培翔",https://www.youtube.com/watch?v=qGIHnDcaODM
"【@ebcapocalypse 全集】20231119 棄醫參選的掙扎！礦工之子總統路 賴清德：打造台灣經濟日不落國｜洪培翔",https://www.youtube.com/watch?v=fFP0T8vPQKk
"【@ebcapocalypse 全集】20231112 單純女會計遇害成「甘蔗園女焦屍」緊追狠嫌索命！？冤魂現身「連法警書記官都目擊」！？凶手回現場求饒「死者不要再來找我」｜洪培翔",https://www.youtube.com/watch?v=WyCnyDt-vMQ
"【@ebcapocalypse 全集】20231105 穿牆大盜「搬金庫三千萬不留指紋」三道保全都失靈！賊王獄中見「犯案手法」求假釋寫檢舉信：我徒弟偷的！｜洪培翔",https://www.youtube.com/watch?v=ejZW0n13CYg
"【@ebcapocalypse 全集】20231029 台中角頭學霸兒淪詐欺犯「竟弒兄換身分」重生！母幫忙辦假證件...家屬要葬儀社「趕快火化滅證」全家都知情？！｜洪培翔",https://www.youtube.com/watch?v=lBzxQsUHoZg
"【@ebcapocalypse 全集】20231022 金孫搜尋「絞肉機、氰化物」80歲嬤離奇失蹤！警懷疑殺嬤盜存款、詐保？連親妹都險遇害：「他要殺了我」｜洪培翔",https://www.youtube.com/watch?v=JWr7oCVaEa4
"【@ebcapocalypse 全集】20231015 堅持態度！鐵血警探總統之路 侯友宜：避戰是總統責任！承諾台灣安全世界安心｜洪培翔",https://www.youtube.com/watch?v=d2gm0Gdz420
"【@ebcapocalypse 全集】20230924 李嘉誠長子遭「香港三大賊王」綁票！他「炸彈綁全身」衝豪宅要82億贖金會得逞嗎？｜洪培翔",https://www.youtube.com/watch?v=RHkmKthCRZI
"【@ebcapocalypse 全集】20230917 野溪裡的死亡秘密！師生烤肉「驚見水中母子浮屍」...驗屍過程異象不斷「警喊死者有冤」？｜洪培翔",https://www.youtube.com/watch?v=5AD5EJWdcJw
"【@ebcapocalypse 全集】20230910 誰把女童屍塞在冰櫃裡？三兄弟互咬「誰在搞鬼」真相驚逆轉！｜洪培翔",https://www.youtube.com/watch?v=FtGeR6fh5Is
"【@ebcapocalypse 全集】20230827 恐怖員工為偷7千將「老闆母子溺浴缸、吊衣櫥」！入監18年還聲請釋憲想逃死？警：他養得白胖！｜洪培翔",https://www.youtube.com/watch?v=dni8TJD4EKI
"【@ebcapocalypse 全集】20230820 老村長「中千萬頭彩卻失聯」遭滅口！法官喊「綁匪還有人性」刑期一路減氣炸家屬 ｜洪培翔",https://www.youtube.com/watch?v=g0ITKfcgywk
"【@ebcapocalypse 全集】20230813 台灣「軍火之王」十大槍擊要犯黑槍都跟他拿！蔣經國欽點三巨頭獵狐「臥底警」冒死滲透成關鍵！？｜洪培翔",https://www.youtube.com/watch?v=LO-_NNXQvq4
"【 @ebcapocalypse 全集】20230723 19歲女教唆男友殺母只因「戀情受阻」！分手相逼男友：下一個換爸爸！｜洪培翔",https://www.youtube.com/watch?v=FbUiy30yrVY
"【@ebcapocalypse 全集】20230716 愛河連續殺手「5天害2流鶯」警抓嘸人！8個月後再下手獨居老婦因「DNA落網」？｜洪培翔",https://www.youtube.com/watch?v=pdV6z5af7IE
"【@ebcapocalypse 全集】20230709 富家逆子109刀弑爸媽竟冷回「我要財產」！「近15年遭父親家暴」累積怨恨釀殺機？｜洪培翔",https://www.youtube.com/watch?v=OtkTEBbi8fU
"【@ebcapocalypse 全集】20230702 渣男勒殺女友反「嫁禍雙親」！法官認定「隔代教養」害他犯罪「僅判18年」逃死刑｜洪培翔｜洪培翔",https://www.youtube.com/watch?v=Wj5D39Zdb-k
