📻西八精選音樂頻道,#genre#
【魔鬼中的天使】,https://www.youtube.com/watch?v=VMBYhFNyuNU
【還是會寂寞】,https://www.youtube.com/watch?v=ZsiN2YVrdmA
【痴心絕對】,https://www.youtube.com/watch?v=CyG7HCVupuE
【叢林男孩】,https://www.youtube.com/watch?v=0hTVBucMB-0
【真的愛妳】,https://www.youtube.com/watch?v=66USpPn59G0
【我們的愛】,https://www.youtube.com/watch?v=6kxd4DvQHmY
【愛到才知痛】,https://www.youtube.com/watch?v=GskWlldp7uU
【傷痕】,https://www.youtube.com/watch?v=U2PjKOaijJA
【大海】,https://www.youtube.com/watch?v=E_O9MikeO_Q
【聽海】,https://www.youtube.com/watch?v=OL_Jf0afdaU
【情人未晚】,https://www.youtube.com/watch?v=qzl4qYk6TAQ
【不做情人】,https://www.youtube.com/watch?v=i0BkTEwcyIg
【不再】,https://www.youtube.com/watch?v=FaCi8_o8xwQ
【想你的夜】,https://www.youtube.com/watch?v=9agseBruqKM
【藍夜-江得勝】,https://www.youtube.com/watch?v=4nDYPr2NeDA
【燃燒】,https://www.youtube.com/watch?v=Eh7lS4BS22w
【秒針】,https://www.youtube.com/watch?v=GcdrKJPoAv8
【暴风女神】,https://www.youtube.com/watch?v=-WeKvGCyiWI
【諾言】,https://www.youtube.com/watch?v=X6ikFI5xCvk
【撕夜】,https://www.youtube.com/watch?v=h1yf9u66C4k
【七情六欲】,https://www.youtube.com/watch?v=cgRYMC8LN2c
【他一定很爱你】,https://www.youtube.com/watch?v=ZzMwd9gkwPU
【天黑】,https://www.youtube.com/watch?v=OBewhRJheec
【五十年以後】,https://www.youtube.com/watch?v=YXV8e448rIM
【有沒有人告訴你】,https://www.youtube.com/watch?v=G0rEM6vGkpk
【愛像一場重感冒】,https://www.youtube.com/watch?v=Ig6Jiz9MO-A
【初戀】,https://www.youtube.com/watch?v=iDuAZk09lW8
【養我一輩子】,https://www.youtube.com/watch?v=K8fCemvi6K0
【你的眼睛背叛你的心】,https://www.youtube.com/watch?v=RbrS_qX2n30
【絕口不提愛你】,https://www.youtube.com/watch?v=MdpsjWlF-ZU
【嘉賓】,https://www.youtube.com/watch?v=k2ILCT9IB_o
【再見煙火】,https://www.youtube.com/watch?v=pWv4AVV0_as
【女人的選擇】,https://www.youtube.com/watch?v=cvuqdiTCwcc

📻西八精選英文老歌頻道,#genre#
【Last Christmas】,https://www.youtube.com/watch?v=jLjOxR7_-bM
【Yeah】,https://www.youtube.com/watch?v=GxBSyx85Kp8
【We Are The World】,https://www.youtube.com/watch?v=182f6dTagkU
【I Don't Want to Miss a Thing】,https://www.youtube.com/watch?v=JkK8g6FMEXE
【Can You Feel The Love Tonight】,https://www.youtube.com/watch?v=1sioip9Uc4o
【 Price Tag】,https://www.youtube.com/watch?v=qMxX-QOV9tI
【When You Say Nothing At All】,https://www.youtube.com/watch?v=IobNcpiwpSc
【I Will Always Love You】,https://www.youtube.com/watch?v=3JWTaaS7LdU
【How Deep Is Your Love】,https://www.youtube.com/watch?v=XpqqjU7u5Yc
【How Do I Live】,https://www.youtube.com/watch?v=HQxWYC0nReo
【I Have Nothing】,https://www.youtube.com/watch?v=FxYw0XPEoKE
【One Sweet Day 】,https://www.youtube.com/watch?v=UXxRyNvTPr8
【Heal The World】,https://www.youtube.com/watch?v=BWf-eARnf6U
【When You Believe】,https://www.youtube.com/watch?v=LKaXY4IdZ40
【Greatest Love Of All】,https://www.youtube.com/watch?v=IYzlVDlE72w
【Dancing Queen】,https://www.youtube.com/watch?v=_fCIrTFpE5Q
【We Belong Together 】,https://www.youtube.com/watch?v=0habxsuXW4g
【My All】,https://www.youtube.com/watch?v=mIhI23gBBPQ
【I Still Believe】,https://www.youtube.com/watch?v=OAZG2duVte4
【Fantasy】,https://www.youtube.com/watch?v=qq09UkPRdFY
【Baby One More Time】,https://www.youtube.com/watch?v=C-u5WLJ9Yk4
【Honey】,https://www.youtube.com/watch?v=w3KOowB4k_k
【Touch My Body】,https://www.youtube.com/watch?v=9b8erWuBA44
【I Will Always Love You】,https://www.youtube.com/watch?v=3JWTaaS7LdU
【You Are Not Alone】,https://www.youtube.com/watch?v=pAyKJAtDNCw
【Nothing's Gonna Stop Us Now】,https://www.youtube.com/watch?v=3wxyN3z9PL4
【It Must Have Been Love】,https://www.youtube.com/watch?v=k2C5TjS2sh4
【he Day You Went Away】,https://www.youtube.com/watch?v=A_HekkBbd1M
【Always Remember Us This Way】,https://www.youtube.com/watch?v=6-Dci8X2Zvk
【Die with small】,https://www.youtube.com/watch?v=zgaCZOQCpp8
【Imagine】,https://www.youtube.com/watch?v=Qh_rtx5bpgc
【The Time of My Life】,https://www.youtube.com/watch?v=s8DmQcahVIY
【Casablanca】,https://www.youtube.com/watch?v=uh-_lT4CMDs
【BeeGees】,https://www.youtube.com/watch?v=L_EUe7U6iXQ
【Sometimes】,https://www.youtube.com/watch?v=t0bPrt69rag
【Sometimes When We Touch】,https://www.youtube.com/watch?v=FaIZN8zJrJk
【Sometimes When We Touch】,https://www.youtube.com/watch?v=IATz8ZVTALo&list=RDIATz8ZVTALo&start_radio=1
【How Am I Supposed To Live Without You 】,https://www.youtube.com/watch?v=qgu400CumqM
【To Love Somebody】,https://www.youtube.com/watch?v=ZvXjMJ3cazE
【 I Don't Want to Miss a Thing】,https://www.youtube.com/watch?v=gP42GBrm6Vo
【I don't want to talk about it】,https://www.youtube.com/watch?v=ZzRco5n-JP4
【Hard To Say I'm Sorry】,https://www.youtube.com/watch?v=Lhn9oSpY-A8
【I'm Yours】,https://www.youtube.com/watch?v=J2TKTLOwjeg
【Uptown Funk】,https://www.youtube.com/watch?v=OPf0YbXqDm0
【Just The Way You Are】,https://www.youtube.com/watch?v=LjhCEhWiKXk
【Yesterday Once More】,https://www.youtube.com/watch?v=U81Iw9jWYzs
【Top Of The World】,https://www.youtube.com/watch?v=m-AHiv4ZoEM
【Please Mr. Postman】,https://www.youtube.com/watch?v=Ot-nzsLQA8Y
【Rainy Days And Mondays】,https://www.youtube.com/watch?v=Kq-YlXb-bq8
【Reality】,https://www.youtube.com/watch?v=XzBwr04Mf1U
【It Might Be You】,https://www.youtube.com/watch?v=p4SZIzyZl78
【Say You, Say Me】,https://www.youtube.com/watch?v=6-bQXE5qijQ
【Against All Odds】,https://www.youtube.com/watch?v=zK_CvDy74S0
【Cherish】,https://www.youtube.com/watch?v=y8EOTr0LByY
【The One You Love】,https://www.youtube.com/watch?v=VmziXUHt0_8
【Somewhere in Time】,https://www.youtube.com/watch?v=98Wpw7y10b0
【Always】,https://www.youtube.com/watch?v=n4SIPpir7sA
【Stay Awhile】,https://www.youtube.com/watch?v=_aQ26MHpXrg
【How Do I Live】,https://www.youtube.com/watch?v=v-l9EMCK614
【Endless Love】,https://www.youtube.com/watch?v=PXSm_UqRktU
【Just When I needed You Most】,https://www.youtube.com/watch?v=HcAcL8Q7VNg
【Love is Love】,https://www.youtube.com/watch?v=LmCC9FtDErw
【Careless Whisper】,https://www.youtube.com/watch?v=nP27RSfjxwM
【All Out of Love】,https://www.youtube.com/watch?v=8PqItUnyvpE
【Because I Love You】,https://www.youtube.com/watch?v=5lKC_GMzVV8
【Reflections of My Life】,https://www.youtube.com/watch?v=tC9OpWSFfpg
【Beautiful Sunday】,https://www.youtube.com/watch?v=Y_Mg79PGKZE
【Torn Between Two Lovers】,https://www.youtube.com/watch?v=bEKrq0whoYs
【Your Man】,https://www.youtube.com/watch?v=MMBtLBuWKS8
【Do You Remember】,https://www.youtube.com/watch?v=2qeYTN103BM
【Make It With You】,https://www.youtube.com/watch?v=IBjafh74yz0
【Sailing】,https://www.youtube.com/watch?v=ZXnx0oD_kGI
【How Can I Tell Her】,https://www.youtube.com/watch?v=RXciBXmiqrk
【Rhythm Of The Rain】,https://www.youtube.com/watch?v=MPg2qBg6ksU
【Take Me Now】,https://www.youtube.com/watch?v=DawPmfnfsU8
【When Will I See You Again】,https://www.youtube.com/watch?v=2Orxm1Ya63I
【Longer 】,https://www.youtube.com/watch?v=JIdLtUumMhc
【Stay Awhile】,https://www.youtube.com/watch?v=_aQ26MHpXrg
【If 】,https://www.youtube.com/watch?v=Pnnq2E6ugXw
【You're My Everything】,https://www.youtube.com/watch?v=XAkP34R5gHc
【Forever By Your Side】,https://www.youtube.com/watch?v=1SBjdufYJiM
【Listen To Your Heart】,https://www.youtube.com/watch?v=waj-tfvwrTA
【Nothing's Gonna Change My Love for You】,https://www.youtube.com/watch?v=-RX1Xn8hXqY
【Missing You】,https://www.youtube.com/watch?v=qLTMkKfNb3c
【Hold Me】,https://www.youtube.com/watch?v=FmC0cB1PW8U
【Sha La La】,https://www.youtube.com/watch?v=-J8watQBSc0
【We Belong】,https://www.youtube.com/watch?v=bj6swl52QPQ
【You Are the Sunshine of My Life】,https://www.youtube.com/watch?v=RZ1hRL8M-u4
【Take Me to Your Heart】,https://www.youtube.com/watch?v=YJAP-deToqU
【Will You Still Love Me】,https://www.youtube.com/watch?v=ieWvE4qU18o
【Fairy Tale】,https://www.youtube.com/watch?v=aQ4v-cu6ho4
【I Love a Rainy Night】,https://www.youtube.com/watch?v=pJfRayyLOzc
【Words】,https://www.youtube.com/watch?v=Je1EhzXGFS0
【Fresh】,https://www.youtube.com/watch?v=6jnwCP_1qOk
【Kiss from a Rose】,https://www.youtube.com/watch?v=xyLVNyWx_70
【Do You Know Where You're Going To】,https://www.youtube.com/watch?v=KgZ15DGCV-c
【The Closer You Get】,https://www.youtube.com/watch?v=0Qw8z_7Fflo
【I Won't Last A Day Without You】,https://www.youtube.com/watch?v=_AlwCgiEUoI
【Summer Wine】,https://www.youtube.com/watch?v=oRKjsHIFw4c
【I'd Really Love To See You Tonight】,https://www.youtube.com/watch?v=QoLgYegvjNs
【Have I Told You Lately】,https://www.youtube.com/watch?v=5nUyvuJnBqI
【I'm Your Angel】,https://www.youtube.com/watch?v=KNs7vGv-Yv0
【No Arms Can Ever Hold You】,https://www.youtube.com/watch?v=SRh2veHiErU
【Just When I needed You Most】,https://www.youtube.com/watch?v=HcAcL8Q7VNg
【Stuck on You】,https://www.youtube.com/watch?v=ayIIHWDLjR8
【Words Get in the Way】,https://www.youtube.com/watch?v=ZTypx89ypFk
【Flaming Star】,https://www.youtube.com/watch?v=DEbMz8kQkMc
【Too much heaven】,https://www.youtube.com/watch?v=kWueQCW9ySU
【Sometimes When We Touch】,https://www.youtube.com/watch?v=-AfWCzSVT-Y
【True】,https://www.youtube.com/watch?v=2W-xO04Fs0g
【Same Old Lang Syne】,https://www.youtube.com/watch?v=aNelziaUnHQ
【Woman In Love】,https://www.youtube.com/watch?v=BU5XsqPCICY
【All at Once】,https://www.youtube.com/watch?v=vFpo9XkHr1g
【Let Me Be There】,https://www.youtube.com/watch?v=xYfl7e9ni4I
【Baby I Miss You】,https://www.youtube.com/watch?v=k-GssS_Ib68
【Every Breath You Take】,https://www.youtube.com/watch?v=7aMoiM1SD_w
【He Was Me, He Was You】,https://www.youtube.com/watch?v=bWDA3XEUERE
【Diamonds & Rust】,https://www.youtube.com/watch?v=m8DF1nrndfE
【Kiss Me Goodbye】,https://www.youtube.com/watch?v=EBA-6-zPeZk
【Brother Louie】,https://www.youtube.com/watch?v=WptjOf4ZhBo
【Take My Breath Away 】,https://www.youtube.com/watch?v=QnM8J1QqIxc
【Foolish Heart】,https://www.youtube.com/watch?v=uMwv5uBB7qY
【Bridge over troubled water】,https://www.youtube.com/watch?v=gKz4Se7nJh4
【Knock Three Times】,https://www.youtube.com/watch?v=w2q6uhbJx6Y
【The Exodus Song】,https://www.youtube.com/watch?v=-u5JoQ7EiLc
【Waiting For The Morning】,https://www.youtube.com/watch?v=3t_LtZcJ6kM
【Those Were the Days】,https://www.youtube.com/watch?v=0tBlqMj6rEk
【Sway】,https://www.youtube.com/watch?v=ac2e0Eh0qtM
【The End of the World】,https://www.youtube.com/watch?v=IkQ1eFCmf8U
【If Only for the Moment, Girl】,https://www.youtube.com/watch?v=-7wNa2QvnVg
【Walk With Me】,https://www.youtube.com/watch?v=zk5apg8IBew
【I.O.I.O.】,https://www.youtube.com/watch?v=x-TW1LI8ezc
【Don't Know Much】,https://www.youtube.com/watch?v=8STlmR9ZZlg
【Scarborough Fair】,https://www.youtube.com/watch?v=gvwH3PJksOk
【How Deep Is Your Love】,https://www.youtube.com/watch?v=f3TE-MLSrWw
【Give Me Back My Love】,https://www.youtube.com/watch?v=3_Jq_21I1lw
【My Love】,https://www.youtube.com/watch?v=DMA3mcBM3Tc
【My Heart Will Go On】,https://www.youtube.com/watch?v=D_f1UwimiDY
【Three Times a Lady】,https://www.youtube.com/watch?v=SQsBGQuDDzY
【It Must Have Been Love】,https://www.youtube.com/watch?v=QdTDTfj2bNg
【I've Never Been to Me】,https://www.youtube.com/watch?v=E3i8bY2Z3Ss
【Runaway】,https://www.youtube.com/watch?v=gf_e_Y8_5QQ
【Let It Be Me】,https://www.youtube.com/watch?v=c07iOt4uxxU
【Swiss Boy】,https://www.youtube.com/watch?v=HVi5h_1KC-0
【Just Once 】,https://www.youtube.com/watch?v=s3BDHr7opqU
【The Final Countdown】,https://www.youtube.com/watch?v=5bgstgUtYcM
【You Make Me Feel Brand New】,https://www.youtube.com/watch?v=FUzO9j8iwQA
【Heart of Glass】,https://www.youtube.com/watch?v=yCtakVFj2xw
【The Rose】,https://www.youtube.com/watch?v=OvRRzhFQrpo
【Islands in the Stream】,https://www.youtube.com/watch?v=x-JirTYAPPA
【I Love You】,https://www.youtube.com/watch?v=uimJssoJcIo
【Girl】,https://www.youtube.com/watch?v=pui-wqTRdvQ
【Goodbye】,https://www.youtube.com/watch?v=ztfVjwXcDLM
【Remember When】,https://www.youtube.com/watch?v=0zr2-rvg97Q
【Something in Your Eyes】,https://www.youtube.com/watch?v=lHE-iBSQJVc
【The One You Love】,https://www.youtube.com/watch?v=VmziXUHt0_8
【Touch by Touch】,https://www.youtube.com/watch?v=AuM8a50p8I8
【Stoney】,https://www.youtube.com/watch?v=8lVSB9pSPzc
【Can't Take My Eyes Off You】,https://www.youtube.com/watch?v=YVK0lx2UX0k
【Hard to Say I'm Sorry】,https://www.youtube.com/watch?v=0_UK20_mApk
【In the Summertime】,https://www.youtube.com/watch?v=OmelLltEuJg
【Memory】,https://www.youtube.com/watch?v=sn5gTImpO6A
【You're Only Lonely】,https://www.youtube.com/watch?v=kYeBHZ-kK_I
【San Francisco】,https://www.youtube.com/watch?v=Ks2MLMMzbZw
【Eye in the Sky】,https://www.youtube.com/watch?v=fw7v65Cfu3I
【Stand By Me】,https://www.youtube.com/watch?v=eBzWAXUS4aY
【Feelings】,https://www.youtube.com/watch?v=TyzEt1waSLc
【Love Story】,https://www.youtube.com/watch?v=T8OBlLnC8QQ
【Home】,https://www.youtube.com/watch?v=W2wuYVFQ4aE
【Stay】,https://www.youtube.com/watch?v=CUd_zvRFp20
【Desperado】,https://www.youtube.com/watch?v=Wx6tC8rWMl0
【More Than I Can Say】,https://www.youtube.com/watch?v=6fIqtYs4NS8
【Take Me Home Country Roads】,https://www.youtube.com/watch?v=j4nqblpmDmA
【All By Myself】,https://www.youtube.com/watch?v=e0jXNjz9fsQ
【Nothing's Gonna Stop Us Now】,https://www.youtube.com/watch?v=l4-qAunbctk
【Caribbean Queen】,https://www.youtube.com/watch?v=0DYu_0-E9vM
【Don't Stop the Dance】,https://www.youtube.com/watch?v=iOFTEsnu2Xg
【Pretty Boy】,https://www.youtube.com/watch?v=sW2UysGkIag
【Wanted】,https://www.youtube.com/watch?v=MnNCAMw76Rc
【I Can Wait Forever】,https://www.youtube.com/watch?v=hOxj_VgmbFk
【Quando Quando Quando 】,https://www.youtube.com/watch?v=G6NqzeU6Qvw
【Me and you and a dog named Boo】,https://www.youtube.com/watch?v=E3bW5srVMpE
【I Just Called to Say I Love You 】,https://www.youtube.com/watch?v=JBGTaGJFjPs
【Promise Me】,https://www.youtube.com/watch?v=4xSkmFFuW9M
【Two Less Lonely People in the World】,https://www.youtube.com/watch?v=AN1bWYgtNZ4
【Moon River】,https://www.youtube.com/watch?v=lLxXKJo9QWA
【The Sound of Silence】,https://www.youtube.com/watch?v=Qb8Q-0f_dHE
【She's a Lady】,https://www.youtube.com/watch?v=XV3DIjioXww
【Cheri, Cheri Lady】,https://www.youtube.com/watch?v=HFxFnH6Jv-0
【What a Wonderful World】,https://www.youtube.com/watch?v=P9Fgzy-ozmc
【I Have Nothing】,https://www.youtube.com/watch?v=_9cnCCpXvj4
【That's Why You Go Away】,https://www.youtube.com/watch?v=Wfe5a8ZgYHw
【Truly Madly Deeply】,https://www.youtube.com/watch?v=fPZOd29D9Vw
【Lady Gaga Hold My Hand】,https://www.youtube.com/watch?v=iBB6gkEwEhk
【I'll Never Love This Way Again】,https://www.youtube.com/watch?v=4SsGuHZqiKc
【Smile】,https://www.youtube.com/watch?v=xKdzzPkp1JA
【Bette Davis Eyes】,https://www.youtube.com/watch?v=jR_3aS1w6HM
【Now and Forever】,https://www.youtube.com/watch?v=IjZ2utjfsLM
【Just the Two of Us】,https://www.youtube.com/watch?v=1sL9QlhG4Uk
【Everything】,https://www.youtube.com/watch?v=6qep-joJ_jM
【Last Christmas】,https://www.youtube.com/watch?v=gYtNgTrdv4M
【APT. x Toxic】,https://www.youtube.com/watch?v=TM1dJezPIrI
【ROSÉ & Bruno Mars-APT】,https://www.youtube.com/watch?v=TY6OVN2aEKs
"Because I Love You 因為我愛你 [ 經典告白歌曲 ] / Shakin' Stevens [ 中英歌詞 ]",https://www.youtube.com/watch?v=5lKC_GMzVV8
"Stand by Me 陪在我身邊 / Seal 席爾 [ 中英歌詞 ]",https://www.youtube.com/watch?v=n_2p2lacYfs
"I Love You 我愛你 / Celine Dion 席琳狄翁 [ 中英歌詞 ]",https://www.youtube.com/watch?v=uimJssoJcIo
"Right Here Waiting 此情可待 [ 西洋電影主題曲 ] / Richard Marx [ 中英歌詞 ]",https://www.youtube.com/watch?v=tgSFXGeub6o
"Nothing's Gonna Change My Love for You 此情不渝 [經典抒情金曲] / George Benson [ 中英歌詞 ]",https://www.youtube.com/watch?v=-RX1Xn8hXqY
"Beautiful Sunday 美麗的星期天 / Daniel Boone [ 中英歌詞 ]",https://www.youtube.com/watch?v=Y_Mg79PGKZE
"Careless Whisper 無心的呢喃 / George Michael 喬治麥可 [ 中英歌詞 ]",https://www.youtube.com/watch?v=nP27RSfjxwM
"Stuck on You 迷戀你 [ 經典鄉村流行歌曲 ] / Lionel Richie 萊諾李奇 [ 中英歌詞 ]",https://www.youtube.com/watch?v=ayIIHWDLjR8
"Evergreen 青春常駐 [ 電影星夢淚痕主題曲 ] / Barbra Streisand 芭芭拉史翠珊 [ 中英歌詞 ]",https://www.youtube.com/watch?v=P8Ge4GbKs5M
"Endless Love無盡的愛 [電影無盡的愛主題曲 ] / Mariah Carey 瑪麗亞凱莉 [ 中英歌詞 ]",https://www.youtube.com/watch?v=bcnbDM1mz6c
"Do You Remember 你還記得嗎? [ 抒情冠軍歌曲 ] / Phil Collins [ 中英歌詞 ]",https://www.youtube.com/watch?v=2qeYTN103BM
"I Want to Know What Love Is 愛的真諦 [ 經典情歌 ] / Mariah Carey 瑪麗亞凱莉 [ 中英歌詞 ]",https://www.youtube.com/watch?v=y8RyyQm7hbk
"Caribbean Queen 加勒比女王 [ 經典懷舊舞曲 ] / Billy Ocean 比利歐辛 [ 中英歌詞 ]",https://www.youtube.com/watch?v=0DYu_0-E9vM
"Diana黛安娜 [ 經典懷舊歌曲 ] / Paul Anka 保羅安卡 [ 中英歌詞 ]",https://www.youtube.com/watch?v=NJZdwQ6JsY0
"Everytime We Touch 每一次接觸 [ 輕搖滾舞曲 ] / Maggie Reilly [ 中英歌詞 ]",https://www.youtube.com/watch?v=qkOi_cb_SAo
"If You Don't Know Me By Now如果你到現在還不懂我 / Seal 席爾 [ 中英歌詞 ]",https://www.youtube.com/watch?v=FWr3zfPf8gU
"Evergreen Tree 長青樹 [ 經典鄉村歌曲 ] / Cliff Richard [ 中英歌詞 ]",https://www.youtube.com/watch?v=zkAFTFR2KpQ
"Hands Up 為愛投降 [ Disco舞曲 ] / Ottawan 奧塔萬樂團[ 中英歌詞 ]",https://www.youtube.com/watch?v=4hQaghtFXqA
"Dying Inside to Hold You 內心渴望抱著你 [ 情歌輕舞曲 ] / Timmy Thomas [ 中英歌詞 ]",https://www.youtube.com/watch?v=-9Tj3D1FtSA
"I'm Your Angel 我是你的天使 [ 男女對唱情歌 ] / Celine Dion & R.Kelly [ 中英歌詞 ]",https://www.youtube.com/watch?v=KNs7vGv-Yv0
"Stand By Your Man 陪在妳的男人身邊 [ 韓劇主題曲 ] / Carla Bruni [ 中英歌詞 ]",https://www.youtube.com/watch?v=9ylMMsJxalE
"Best in Me 最好的我 [ 金榜歌曲 ] / Blue [ 中英歌詞 ]",https://www.youtube.com/watch?v=3wl6s7yCqM8
"It's So Easy 如此容易 [ 鄉村搖滾經典歌曲 ] / Linda Ronstadt [ 中英歌詞 ]",https://www.youtube.com/watch?v=6RFpnMWStYo
"All Time High 愛到最高點 [ 007 電影八爪女主題曲 ] / Rita Coolidge [ 中英歌詞 ]",https://www.youtube.com/watch?v=_lC_3tg8hjo
"Who's Holding Donna Now 唐娜此刻在誰懷裡 [ 抒情單曲 ] / DeBarge 狄巴吉合唱團 [ 中英歌詞 ]",https://www.youtube.com/watch?v=UmtBW9ccNzY
"I've Been Waiting for You 我一直在等你 [ 婚禮歌曲 ] / Guys Next Door [ 中英歌詞 ]",https://www.youtube.com/watch?v=6yp3kyyM8Yk
"Beauty and the Beast 美女與野獸 [ 迪士尼動畫電影主題曲 ] / Celine Dion & Peabo Bryson [中英歌詞 ]",https://www.youtube.com/watch?v=h3ZbSX9ujjI
"Just One Look 只看一眼 [ 鄉村搖滾經典歌曲 ] / Linda Ronstadt [ 中英歌詞 ]",https://www.youtube.com/watch?v=cFsX-B-zbXw
"Sara 莎拉 [ 冠軍單曲 ] / Starship 星船合唱團 [ 中英歌詞 ]",https://www.youtube.com/watch?v=UySP2KFYA9Y
"Everything I Do I Do It for You 一切為了你 [俠盜羅賓漢主題曲] / Kenny G ft. LeAnn Rimes [ 中英歌詞 ]",https://www.youtube.com/watch?v=6GI2pPgeAvc
"I Wanna Dance with Somebody 想和愛我的人共舞 [ 冠軍舞曲 ] / Whitney Houston 惠妮休斯頓 [ 中英歌詞 ]",https://www.youtube.com/watch?v=_T52dX-YLBU
"I Just Can't Stop Loving You 止不住愛戀你 / Michael Jackson 麥可傑克森 [中英歌詞 ]",https://www.youtube.com/watch?v=_QQzsJezZlE
"You Are So Beautiful 你是如此美麗 / Michael Bolton 邁克爾波頓 [ 中英歌詞 ]",https://www.youtube.com/watch?v=hUOjMHeoYCc
"Islands in the Stream 溪流中的島嶼 / Bee Gees 比吉斯 [ 中英歌詞 ]",https://www.youtube.com/watch?v=m8ahABW0IR4
"Love Is All Around 愛無所不在 [ 妳是我今生的新娘主題曲 ] / Wet Wet Wet [ 中英歌詞 ]",https://www.youtube.com/watch?v=lWYU074CB6s
"Every Breath You Take 你的一顰一笑 / The Police 警察合唱團 [ 中英歌詞 ]",https://www.youtube.com/watch?v=7aMoiM1SD_w
"Open Arms 敞開心懷 / Mariah Carey 瑪麗亞凱莉 [ 中英歌詞 ]",https://www.youtube.com/watch?v=qeplUGpUmEw
"Sweet Sweet Smile 甜蜜的笑容 [ 木匠兄妹金曲 ] / Carpenters [ 中英歌詞 ]",https://www.youtube.com/watch?v=2SHIuP1Xhl0
"I will Be Here for You 為你守候 / Michael W. Smith [ 中英歌詞 ]",https://www.youtube.com/watch?v=9MfX2y56D2A
"Don't Make Me Wait for Love 別讓我為愛等待 / Kenny G 肯尼吉薩克斯風演奏 [ 中英歌詞 ]",https://www.youtube.com/watch?v=pTrydeL2Xao
"Hello 哈囉 [ 金龜車賀比插曲 ] / Lionel Richie 萊諾李奇 [ 中英歌詞 ]",https://www.youtube.com/watch?v=aC2C-n4QoBY
"Better Man 更好的人 / Robbie Williams 羅比威廉斯 [ 中英歌詞 ]",https://www.youtube.com/watch?v=bbvx_Y2GhUk
